Num_line,S,MS,Cat,Num_cat,State,Display,null
611,400,600,Exit,17.0,CorrectResp,Time,
612,400,600,Entry,1.0,MagEntry,,
616,400,935,Input,34.0,Off1A2,,
617,400,935,Input,35.0,Off1A3,,
618,401,251,Input,1.0,On1A1,,
619,401,251,Exit,1.0,MagEntry,1,
620,401,251,Entry,2.0,ITI2sec,,
621,402,890,Input,33.0,Off1A1,,
622,403,255,Exit,2.0,ITI2sec,Time,
623,403,255,Entry,3.0,RandomHole,,
624,403,265,Exit,3.0,RandomHole,Time,
626,403,265,Entry,14.0,hole5,,
628,404,45,Input,3.0,On1A3,,
629,404,45,Input,4.0,On1A4,,
630,404,45,Exit,14.0,hole5,4,
631,404,45,Entry,17.0,CorrectResp,,
636,404,50,Exit,17.0,CorrectResp,Time,
637,404,50,Entry,1.0,MagEntry,,
641,404,385,Input,35.0,Off1A3,,
642,404,385,Input,36.0,Off1A4,,
643,404,895,Input,1.0,On1A1,,
644,404,895,Exit,1.0,MagEntry,1,
645,404,895,Entry,2.0,ITI2sec,,
646,406,215,Input,33.0,Off1A1,,
647,406,900,Exit,2.0,ITI2sec,Time,
648,406,900,Entry,3.0,RandomHole,,
649,406,910,Exit,3.0,RandomHole,Time,
651,406,910,Entry,12.0,hole4,,
653,407,650,Input,2.0,On1A2,,
654,407,650,Input,3.0,On1A3,,
655,407,650,Exit,12.0,hole4,3,
656,407,650,Entry,17.0,CorrectResp,,
661,407,655,Exit,17.0,CorrectResp,Time,
662,407,655,Entry,1.0,MagEntry,,
666,407,991,Input,34.0,Off1A2,,
667,407,991,Input,35.0,Off1A3,,
668,408,590,Input,1.0,On1A1,,
669,408,590,Exit,1.0,MagEntry,1,
670,408,590,Entry,2.0,ITI2sec,,
671,409,905,Input,33.0,Off1A1,,
672,410,595,Exit,2.0,ITI2sec,Time,
673,410,595,Entry,3.0,RandomHole,,
674,410,605,Exit,3.0,RandomHole,Time,
676,410,605,Entry,8.0,hole2,,
678,410,915,Input,3.0,On1A3,,
679,410,915,Exit,8.0,hole2,3,
680,410,915,Entry,17.0,CorrectResp,,
685,410,920,Exit,17.0,CorrectResp,Time,
686,410,920,Entry,1.0,MagEntry,,
690,411,255,Input,35.0,Off1A3,,
691,411,770,Input,1.0,On1A1,,
692,411,770,Exit,1.0,MagEntry,1,
693,411,770,Entry,2.0,ITI2sec,,
694,412,765,Input,33.0,Off1A1,,
695,413,775,Exit,2.0,ITI2sec,Time,
696,413,775,Entry,3.0,RandomHole,,
697,413,785,Exit,3.0,RandomHole,Time,
699,413,785,Entry,10.0,hole3,,
701,414,770,Input,4.0,On1A4,,
702,414,770,Exit,10.0,hole3,4,
703,414,770,Entry,17.0,CorrectResp,,
708,414,775,Exit,17.0,CorrectResp,Time,
709,414,775,Entry,1.0,MagEntry,,
713,415,110,Input,36.0,Off1A4,,
714,415,615,Input,1.0,On1A1,,
715,415,615,Exit,1.0,MagEntry,1,
716,415,615,Entry,2.0,ITI2sec,,
717,416,605,Input,33.0,Off1A1,,
718,417,620,Exit,2.0,ITI2sec,Time,
719,417,620,Entry,3.0,RandomHole,,
720,417,630,Exit,3.0,RandomHole,Time,
722,417,630,Entry,10.0,hole3,,
724,418,255,Input,4.0,On1A4,,
725,418,255,Exit,10.0,hole3,4,
726,418,255,Entry,17.0,CorrectResp,,
731,418,260,Exit,17.0,CorrectResp,Time,
732,418,260,Entry,1.0,MagEntry,,
736,418,595,Input,36.0,Off1A4,,
737,419,80,Input,1.0,On1A1,,
738,419,80,Exit,1.0,MagEntry,1,
739,419,80,Entry,2.0,ITI2sec,,
740,420,70,Input,33.0,Off1A1,,
741,421,85,Exit,2.0,ITI2sec,Time,
742,421,85,Entry,3.0,RandomHole,,
743,421,95,Exit,3.0,RandomHole,Time,
745,421,95,Entry,10.0,hole3,,
747,421,755,Input,4.0,On1A4,,
748,421,755,Exit,10.0,hole3,4,
749,421,755,Entry,17.0,CorrectResp,,
754,421,760,Exit,17.0,CorrectResp,Time,
755,421,760,Entry,1.0,MagEntry,,
759,422,420,Input,36.0,Off1A4,,
760,422,845,Input,1.0,On1A1,,
761,422,845,Exit,1.0,MagEntry,1,
762,422,845,Entry,2.0,ITI2sec,,
763,424,485,Input,33.0,Off1A1,,
764,424,850,Exit,2.0,ITI2sec,Time,
765,424,850,Entry,3.0,RandomHole,,
766,424,860,Exit,3.0,RandomHole,Time,
768,424,860,Entry,8.0,hole2,,
770,425,860,Exit,8.0,hole2,Time,
771,425,860,Entry,9.0,Holdhole2,,
772,426,860,Exit,9.0,Holdhole2,Time,
773,426,860,Entry,16.0,Omission,,
776,426,870,Exit,16.0,Omission,Time,
777,426,870,Entry,5.0,TimeOut,,
778,427,90,Input,3.0,On1A3,,
779,427,430,Input,35.0,Off1A3,,
780,427,475,Input,2.0,On1A2,,
781,428,140,Input,34.0,Off1A2,,
782,431,875,Exit,5.0,TimeOut,Time,
783,431,875,Entry,1.0,MagEntry,,
787,433,700,Input,3.0,On1A3,,
788,433,700,Input,4.0,On1A4,,
789,434,35,Input,35.0,Off1A3,,
790,434,35,Input,36.0,Off1A4,,
791,435,450,Input,1.0,On1A1,,
792,435,450,Exit,1.0,MagEntry,1,
793,435,450,Entry,2.0,ITI2sec,,
794,436,115,Input,33.0,Off1A1,,
795,436,735,Input,1.0,On1A1,,
796,437,455,Exit,2.0,ITI2sec,Time,
797,437,455,Entry,3.0,RandomHole,,
798,437,465,Exit,3.0,RandomHole,Time,
800,437,465,Entry,10.0,hole3,,
802,437,725,Input,33.0,Off1A1,,
803,438,465,Exit,10.0,hole3,Time,
804,438,465,Entry,11.0,Holdhole3,,
805,438,470,Exit,11.0,Holdhole3,,
806,438,470,Entry,16.0,Omission,,
809,438,480,Exit,16.0,Omission,Time,
810,438,480,Entry,5.0,TimeOut,,
811,438,485,Input,4.0,On1A4,,
812,439,475,Input,36.0,Off1A4,,
813,443,485,Exit,5.0,TimeOut,Time,
814,443,485,Entry,1.0,MagEntry,,
818,445,235,Input,3.0,On1A3,,
819,445,900,Input,35.0,Off1A3,,
820,448,345,Input,33.0,Off1A1,,
821,450,640,Input,3.0,On1A3,,
822,451,305,Input,35.0,Off1A3,,
823,451,730,Input,1.0,On1A1,,
824,451,730,Exit,1.0,MagEntry,1,
825,451,730,Entry,2.0,ITI2sec,,
826,452,395,Input,33.0,Off1A1,,
827,453,735,Exit,2.0,ITI2sec,Time,
828,453,735,Entry,3.0,RandomHole,,
829,453,745,Exit,3.0,RandomHole,Time,
831,453,745,Entry,14.0,hole5,,
833,454,420,Input,3.0,On1A3,,
834,454,420,Input,4.0,On1A4,,
835,454,420,Exit,14.0,hole5,4,
836,454,420,Entry,17.0,CorrectResp,,
841,454,425,Exit,17.0,CorrectResp,Time,
842,454,425,Entry,1.0,MagEntry,,
846,454,760,Input,35.0,Off1A3,,
847,454,760,Input,36.0,Off1A4,,
848,454,790,Input,3.0,On1A3,,
849,454,790,Input,4.0,On1A4,,
850,455,130,Input,35.0,Off1A3,,
851,455,130,Input,36.0,Off1A4,,
852,455,715,Input,1.0,On1A1,,
853,455,715,Exit,1.0,MagEntry,1,
854,455,715,Entry,2.0,ITI2sec,,
855,456,705,Input,33.0,Off1A1,,
856,457,720,Exit,2.0,ITI2sec,Time,
857,457,720,Entry,3.0,RandomHole,,
858,457,730,Exit,3.0,RandomHole,Time,
860,457,730,Entry,12.0,hole4,,
862,458,730,Exit,12.0,hole4,Time,
863,458,730,Entry,13.0,Holdhole4,,
864,459,730,Exit,13.0,Holdhole4,Time,
865,459,730,Entry,16.0,Omission,,
868,459,740,Exit,16.0,Omission,Time,
869,459,740,Entry,5.0,TimeOut,,
870,464,745,Exit,5.0,TimeOut,Time,
871,464,745,Entry,1.0,MagEntry,,
875,472,260,Input,1.0,On1A1,,
876,472,260,Exit,1.0,MagEntry,1,
877,472,260,Entry,2.0,ITI2sec,,
878,473,250,Input,33.0,Off1A1,,
879,474,240,Input,3.0,On1A3,,
880,474,240,Exit,2.0,ITI2sec,3,
881,474,240,Entry,4.0,Premature,,
883,474,245,Exit,4.0,Premature,Time,
884,474,245,Entry,5.0,TimeOut,,
885,474,575,Input,4.0,On1A4,,
